################################### RECORDED ###################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -i1:20 -s CmdZ --procfilt fIsis -f ./  Subsys: CmdZ
################################################################################
# Collectl:   V4.0.2-1  HiRes: 1  Options: -p localhost-20150706-065018.raw.gz -P -f plot 
# Host:       localhost  DaemonOpts: 
# Booted:     1431591593.67 [20150514-09:19:53]
# Distro:     CentOS Linux release 7.1.1503 (Core)     Platform: 
# Date:       20150706-065018  Secs: 1436161818 TZ: +0100
# SubSys:     CmdZ Options:  Interval: 1:20 NumCPUs: 48 [HYPER] NumBud: 0 Flags: ix
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1200.000 Cores: 12  Siblings: 24 Nodes: 2
# Kernel:     3.10.0-229.el7.x86_64  Memory: 131754524  Swap: 
# NumDisks:   0 DiskNames: 
# NumNets:    3 NetNames: enp1s0f0:1000 enp1s0f1:10000 lo:10000
# SCSI:       DA:0:02:00:00 DA:0:02:01:00
################################################################################
#Date Time [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
20150706 06:50:20 131754524 131187568 566956 24624 1444 128259064 1821184 42124 43892 384464 0 4194300 80420 4113880 0 0 0 0 0 127389048 0 0 796 0 0 0 0 334208 0 0 0 0 0 0 0 0 0
20150706 06:50:21 131754524 131194248 560276 24628 1444 128259328 1821676 42240 56692 390028 0 4194300 80420 4113880 0 0 4 0 0 127388556 0 0 1718 0 0 0 0 334268 0 0 0 0 0 0 0 0 0
20150706 06:50:22 131754524 131184164 570360 24628 1444 128259348 1822352 41812 48864 382328 0 4194300 80420 4113880 0 0 4 0 0 127383100 608 0 7091 3 0 0 0 334560 144 0 144 608 0 608 0 0 0
20150706 06:50:23 131754524 131192796 561728 24624 1444 128259876 1822256 46248 55872 398804 0 4194300 80420 4113880 0 0 8 0 0 127383256 927 0 7491 9 0 0 0 334560 41 0 41 924 0 924 0 0 0
20150706 06:50:24 131754524 131363364 391160 24624 1444 128231516 1822292 46532 255924 1160012 0 4194300 80420 4113880 0 0 20 0 0 127354132 4677 4 50048 0 0 0 0 334596 209 1 210 4681 4 4685 0 0 0
20150706 06:50:25 131754524 131370604 383920 24624 1444 127714492 1821268 47412 748492 2885188 0 4194300 80420 4113880 0 0 36 0 0 126837064 0 0 211005 0 0 0 0 334628 0 0 0 0 0 0 0 0 0
20150706 06:50:26 131754524 131352048 402476 24628 1444 126893468 1819196 47888 1614832 3693152 0 4194300 80420 4113880 0 0 36 0 0 126015884 0 0 201946 0 0 0 0 334636 0 0 0 0 0 0 0 0 0
20150706 06:50:27 131754524 131374724 379800 24628 1444 126839396 1818684 47908 1692756 3768944 0 4194300 80420 4113880 0 0 40 0 0 125961732 9 40 22491 0 0 0 0 334604 4 9 13 9 40 49 0 0 0
20150706 06:50:28 131754524 131374728 379796 24628 1444 126839396 1818684 47908 1692764 3768944 0 4194300 80420 4113880 0 0 40 0 0 125961732 0 0 2 0 0 0 0 334604 0 0 0 0 0 0 0 0 0
20150706 06:50:29 131754524 131374728 379796 24628 1444 126839404 1818684 47908 1692764 3768944 0 4194300 80420 4113880 0 0 52 0 0 125961732 0 26 68 0 0 0 0 334604 0 1 1 0 26 26 0 0 0
20150706 06:50:30 131754524 131374136 380388 24628 1444 126839412 1818684 47912 1692792 3768944 0 4194300 80420 4113880 0 0 60 0 0 125961732 0 0 71 0 0 0 0 334604 0 0 0 0 0 0 0 0 0
20150706 06:50:31 131754524 131350328 404196 24628 1444 126794232 1818684 47996 1713004 3789284 0 4194300 80420 4113880 0 0 24 0 0 125916352 0 0 5097 0 0 0 0 334604 0 0 0 0 0 0 0 0 0
20150706 06:50:32 131754524 131350296 404228 24628 1444 126794232 1818652 47996 1713004 3789284 0 4194300 80420 4113880 0 0 24 0 0 125916352 0 24 2 0 0 0 0 334604 0 1 1 0 24 24 0 1 1
20150706 06:50:33 131754524 131350276 404248 24628 1444 126679648 1818636 48780 1827184 65227060 0 4194300 80420 4113880 0 0 24 0 0 125801940 0 46 28050 0 0 0 0 334604 0 2 2 0 46 46 0 0 0
