Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 1 0 0 0 0 0 0 99 1 0 0 699 746 0 772 0 0.00 0.01 0.83 0 0 131754524 102583124 29171400 3308 0 100393592 1251360 21644 44744 352436 0 4194300 87016 4107284 0 0 4 0 0 11633448 680 0 3923 0 0 0 0 189496 85 0 85 672 0 672 1 0 1
1 0 0 0 0 0 0 0 100 0 0 0 380 673 0 772 0 0.00 0.01 0.83 1 0 131754524 102584040 29170484 3308 0 100393956 1251360 23092 44452 352436 0 4194300 87016 4107284 0 0 16 0 0 11633984 1176 0 3 0 0 0 0 189496 148 0 148 1184 0 1184 0 0 0
2 0 0 0 0 0 0 0 100 0 0 0 546 1917 69 841 0 0.00 0.01 0.83 0 1 131754524 102591024 29163500 3308 0 100397232 1251152 26408 47804 883084 0 4194300 87016 4107284 0 0 28 0 0 11635536 3396 0 3409 3 0 0 0 189288 147 0 147 3372 0 3372 0 0 0
3 0 1 1 1 0 0 0 98 1 0 0 1580 1144 0 841 1 0.00 0.01 0.83 1 0 131754524 103373804 28380720 3308 0 100412468 1251152 26424 907820 2804080 0 4194300 87016 4107284 0 0 32 0 0 11650544 15328 32 63253 0 0 0 0 189288 192 8 200 15360 32 15392 0 0 0
4 0 2 1 0 0 0 0 98 2 0 0 1133 231 0 841 1 0.08 0.03 0.84 3 0 131754524 104298420 27456104 3308 0 100412624 1251352 26652 1766568 3726216 0 4194300 87016 4107284 0 0 36 0 0 11650872 0 0 37744 0 0 0 0 189488 0 0 0 0 0 0 0 0 0
5 0 2 0 0 0 0 0 98 2 0 0 1144 356 0 841 1 0.08 0.03 0.84 1 0 131754524 104298668 27455856 3308 0 100412624 1251352 26660 1736288 3726216 0 4194300 87016 4107284 0 0 36 0 0 11650872 0 0 9339 0 0 0 0 189488 0 0 0 0 0 0 0 0 0
6 0 2 0 0 0 0 0 98 2 0 0 1109 314 0 841 1 0.08 0.03 0.84 1 0 131754524 104298676 27455848 3308 0 100412632 1251364 26660 1736284 3726216 0 4194300 87016 4107284 0 0 44 0 0 11650872 0 0 10576 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
7 0 2 0 0 0 0 0 98 2 0 0 1109 339 0 841 1 0.08 0.03 0.84 1 0 131754524 104298504 27456020 3308 0 100412640 1251364 26660 1736300 3726216 0 4194300 87016 4107284 0 0 52 0 0 11650872 0 0 6719 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
8 0 2 0 0 0 0 0 98 2 0 0 1176 412 0 841 1 0.08 0.03 0.84 1 0 131754524 104298412 27456112 3308 0 100412648 1251364 26660 1736308 3726216 0 4194300 87016 4107284 0 0 60 0 0 11650872 0 60 3 0 0 0 0 189492 0 9 9 0 60 60 0 0 0
9 0 2 0 0 0 0 0 98 2 0 0 1119 203 2 843 1 0.16 0.05 0.84 1 0 131754524 104318376 27436148 3308 0 100412648 1251364 26660 1756672 3749436 0 4194300 87016 4107284 0 0 0 0 0 11650872 0 0 19712 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
10 0 2 0 0 0 0 0 98 2 0 0 1047 59 0 843 1 0.16 0.05 0.84 1 0 131754524 104318876 27435648 3308 0 100412648 1251364 26752 1756632 3749436 0 4194300 87016 4107284 0 0 0 0 0 11650872 0 0 23241 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
11 0 1 1 0 0 0 0 98 2 0 0 1055 92 0 843 1 0.16 0.05 0.84 1 0 131754524 106198004 25556520 3308 0 100412648 1251364 26752 3611520 42550420 0 4194300 87016 4107284 0 0 4 0 0 11650872 0 0 1326 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
12 0 0 2 0 0 0 0 98 2 0 0 1119 157 0 843 1 0.16 0.05 0.84 1 0 131754524 109709076 22045448 3308 0 100412652 1251364 26772 7160788 42550420 0 4194300 87016 4107284 0 0 8 0 0 11650872 0 0 1726 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
13 0 0 2 0 0 0 0 98 2 0 0 1081 99 0 843 1 0.16 0.05 0.84 1 0 131754524 112748132 19006392 3308 0 100412652 1251364 26780 9925596 42550420 0 4194300 87016 4107284 0 0 8 0 0 11650872 0 8 1482 0 0 0 0 189492 0 1 1 0 8 8 0 1 1
14 0 0 2 0 0 0 0 98 2 0 0 1050 68 0 843 1 0.22 0.06 0.84 2 0 131754524 115593916 16160608 3308 0 100412652 1251364 26780 12921824 42550420 0 4194300 87016 4107284 0 0 8 0 0 11650872 0 0 1411 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
15 0 0 2 0 0 0 0 98 2 0 0 1070 107 0 843 1 0.22 0.06 0.84 1 0 131754524 118438024 13316500 3308 0 100412652 1251364 26780 15760352 42550420 0 4194300 87016 4107284 0 0 0 0 0 11650872 0 2 1388 0 0 0 0 189492 0 1 1 0 2 2 0 0 0
16 0 0 2 0 0 0 0 98 2 0 0 1106 124 0 843 1 0.22 0.06 0.84 1 0 131754524 121284124 10470400 3308 0 100412652 1251376 26780 18600924 42550420 0 4194300 87016 4107284 0 0 0 0 0 11650872 0 0 1388 0 0 0 0 189496 0 0 0 0 0 0 0 0 0
17 0 0 2 0 0 0 0 98 2 0 0 1381 207 0 843 1 0.22 0.06 0.84 1 0 131754524 123102088 8652436 3308 0 100373908 1251328 26780 20555264 42550420 0 4194300 87984 4106316 0 991232 0 0 0 11650872 0 968 465221 0 0 0 0 189448 0 103 103 0 968 968 0 139 139
18 0 0 2 0 0 0 0 98 2 0 0 1844 514 0 843 1 0.22 0.06 0.84 1 0 131754524 124699760 7054764 2580 0 100297460 1251328 26056 22229648 42550420 0 4194300 102636 4091664 0 15003648 0 0 0 11650872 0 14652 421083 0 0 0 0 189448 0 305 305 0 14652 14652 0 3358 3358
19 0 0 2 0 0 0 0 98 2 0 0 1678 541 0 843 1 0.29 0.08 0.84 1 0 131754524 126334252 5420272 2648 0 100243780 1251872 26124 23913056 42550420 0 4194300 126008 4068292 1884160 24006656 0 0 0 11650868 1840 23444 424393 58 0 0 0 189992 58 190 248 1840 14636 16476 402 5629 6031
20 0 0 2 0 0 0 0 98 2 0 0 1444 469 0 843 1 0.29 0.08 0.84 1 0 131754524 127711212 4043312 2648 0 100203972 1251528 26176 25320784 42550420 0 4194300 133188 4061112 0 7352320 4 0 0 11650872 0 7180 356484 0 0 0 0 189648 0 86 86 0 15988 15988 0 1751 1751
21 0 0 2 0 0 0 0 98 2 0 0 1287 309 0 843 1 0.29 0.08 0.84 1 0 131754524 127914104 3840420 2648 0 100196476 1251376 26176 25424952 42550420 0 4194300 140556 4053744 0 7544832 4 0 0 11650872 0 7368 24176 0 0 0 0 189496 0 49 49 0 7368 7368 0 1793 1793
22 0 0 2 0 0 0 0 98 2 0 0 1110 155 0 843 1 0.29 0.08 0.84 1 0 131754524 128035316 3719208 2648 0 100196024 1251372 26176 25539576 42550420 0 4194300 140556 4053744 0 0 4 0 0 11650872 0 0 60 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
23 0 0 2 0 0 0 0 98 2 0 0 1137 241 0 843 1 0.29 0.08 0.84 1 0 131754524 128159760 3594764 2648 0 100196052 1251372 26176 25662464 42550420 0 4194300 140556 4053744 0 0 4 0 0 11650872 0 0 181 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
24 0 0 2 0 0 0 0 98 2 0 0 1267 439 0 843 1 0.34 0.09 0.84 2 0 131754524 128281312 3473212 2648 0 100196052 1251372 26176 25785356 42550420 0 4194300 140556 4053744 65536 0 4 0 0 11650872 64 0 89 2 0 0 0 189492 2 0 2 64 0 64 14 0 14
25 0 0 2 0 0 0 0 98 2 0 0 1172 290 0 843 1 0.34 0.09 0.84 1 0 131754524 128395264 3359260 2648 0 100196356 1251372 26176 25906240 42550420 0 4194300 140556 4053744 0 0 4 0 0 11650872 0 0 57 0 0 0 0 189492 0 0 0 0 0 0 0 0 0
26 0 0 2 0 0 0 0 98 2 0 0 1224 420 0 843 1 0.34 0.09 0.84 1 0 131754524 128508232 3246292 2648 0 100196356 1251384 26176 26020928 42550420 0 4194300 140556 4053744 0 0 4 0 0 11650872 0 0 56 0 0 0 0 189496 0 0 0 0 0 0 0 0 0
27 0 0 2 0 0 0 0 98 2 0 0 1115 217 0 843 1 0.34 0.09 0.84 1 0 131754524 128617504 3137020 2648 0 100196356 1251384 26176 26133568 42550420 0 4194300 140556 4053744 0 0 4 0 0 11650872 0 0 55 0 0 0 0 189496 0 0 0 0 0 0 0 0 0
28 0 0 2 0 0 0 0 98 2 0 0 1169 246 0 843 1 0.34 0.09 0.84 2 0 131754524 128729888 3024636 2648 0 100196356 1251384 26176 26242112 42550420 0 4194300 140556 4053744 0 0 4 0 0 11650872 0 0 57 0 0 0 0 189496 0 0 0 0 0 0 0 0 0
