Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 0 0 0 0 0 0 100 0 0 0 2456 4593 0 770 0 0.02 0.02 0.05 1 0 131754524 31116616 100637908 4056 0 29654236 503552 20244 58944 332112 0 4194300 67244 4127056 0 0 0 0 0 4722284 0 0 1423 0 0 0 0 178784 0 0 0 0 0 0 0 0 0
1 1 0 0 0 0 0 0 99 1 0 0 2608 4064 3 763 2 0.02 0.02 0.05 2 0 131754524 31108208 100646316 4060 0 29654960 503592 21252 49868 325268 0 4194300 67244 4127056 0 0 4 0 0 4721184 932 0 7762 9 0 0 0 178824 11 0 11 932 0 932 0 0 0
2 1 0 0 0 0 0 0 98 1 0 0 1273 1124 8 765 1 0.02 0.02 0.05 1 0 131754524 31119684 100634840 4060 0 29657964 503672 22832 53996 333208 0 4194300 67244 4127056 0 0 4 0 0 4723592 3620 0 4759 34 0 0 0 178840 51 0 51 3620 0 3620 0 0 0
3 2 0 0 0 0 0 0 98 2 0 0 4315 7998 9 766 1 0.02 0.02 0.05 1 0 131754524 31135400 100619124 4064 0 29658416 503796 23256 69936 366128 0 4194300 67244 4127056 0 0 20 0 0 4636812 288 0 17925 2 0 0 0 178844 35 0 35 288 0 288 0 0 0
4 2 0 0 0 0 0 0 98 2 0 0 1502 928 0 766 1 0.10 0.04 0.05 2 0 131754524 31138076 100616448 4064 0 29658472 503964 23400 88168 366128 0 4194300 67244 4127056 0 0 28 0 0 4466164 0 32 29978 0 0 0 0 178852 0 1 1 0 32 32 0 0 0
5 2 0 0 0 0 0 0 98 2 0 0 1598 988 0 766 1 0.10 0.04 0.05 1 0 131754524 31128980 100625544 4064 0 29658472 503992 23400 76440 366128 0 4194300 67244 4127056 0 0 28 0 0 4286908 0 0 32717 0 0 0 0 178856 0 0 0 0 0 0 0 0 0
6 2 0 0 0 0 0 0 98 2 0 0 1514 914 0 766 0 0.10 0.04 0.05 2 0 131754524 31126992 100627532 4064 0 29658472 503992 23400 75804 366128 0 4194300 67244 4127056 0 0 28 0 0 4119940 368 24 29391 0 0 0 0 178856 3 6 9 112 24 136 0 0 0
7 1 0 0 0 0 0 0 98 2 0 0 3411 1778 0 766 1 0.10 0.04 0.05 1 0 131754524 31274168 100480356 4064 0 29797280 504000 23408 77752 366128 0 4194300 67244 4127056 0 0 28 0 0 4258612 138584 0 25571 0 0 0 0 178856 1141 0 1141 138840 0 138840 0 0 0
8 1 0 0 0 0 0 0 98 2 0 0 3364 1607 0 766 1 0.10 0.04 0.05 2 0 131754524 31401652 100352872 4064 0 29931888 504044 23408 75692 366128 0 4194300 67244 4127056 0 0 4 0 0 4393208 136588 0 23532 0 0 0 0 178860 1102 0 1102 133644 0 133644 0 0 0
9 2 0 0 0 0 0 0 98 2 0 0 4160 1965 0 766 1 0.17 0.06 0.06 1 0 131754524 31585992 100168532 4064 0 30094008 504052 23408 89364 378760 0 4194300 67244 4127056 0 0 4 0 0 4555392 160264 0 28231 0 0 0 0 178860 1342 0 1342 163208 0 163208 0 0 0
