Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 0 0 0 0 0 0 100 0 0 0 71 128 0 711 0 0.00 0.01 0.05 0 0 131804000 65054096 66749904 0 776 57426800 471556 29340 6135432 2551520 0 0 0 0 0 0 8 0 0 51793096 0 8 12 0 0 0 0 140780 0 2 2 0 8 8 0 0 0
1 0 0 0 0 0 0 0 100 0 0 0 165 261 3 712 0 0.00 0.01 0.05 0 0 131804000 65054008 66749992 0 776 57426800 471492 29288 6135460 2551520 0 0 0 0 0 0 12 0 0 51793096 0 32 11 0 0 0 0 140716 0 7 7 0 32 32 0 0 0
2 0 0 0 0 0 0 0 100 0 0 0 113 214 0 712 0 0.00 0.01 0.05 0 0 131804000 65054164 66749836 0 776 57426800 471492 29288 6135364 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 4 0 0 0 0 140716 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 0 100 0 0 0 197 325 2 712 0 0.00 0.01 0.05 1 0 131804000 65054260 66749740 0 776 57426800 471492 29288 6135528 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 105 0 0 0 0 140716 0 0 0 0 0 0 0 0 0
4 0 0 0 0 0 0 0 100 0 0 0 117 217 0 712 0 0.00 0.01 0.05 0 0 131804000 65054028 66749972 0 776 57426800 471492 29288 6135544 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 3 0 0 0 0 140716 0 0 0 0 0 0 0 0 0
5 0 0 0 0 0 0 0 100 0 0 0 175 276 0 712 0 0.00 0.01 0.05 0 0 131804000 65054168 66749832 0 776 57426800 471512 29288 6135552 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 1 0 0 0 0 140720 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0 100 0 0 0 93 180 2 712 0 0.00 0.01 0.05 0 0 131804000 65053452 66750548 0 776 57426800 471584 29540 6134916 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 7 0 0 0 0 140792 0 0 0 0 0 0 0 0 0
7 0 0 0 0 0 0 0 100 0 0 0 245 397 0 712 0 0.00 0.01 0.05 0 0 131804000 65053344 66750656 0 776 57426800 471584 29540 6134924 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 1 0 0 0 0 140792 0 0 0 0 0 0 0 0 0
8 0 0 0 0 0 0 0 100 0 0 0 121 221 0 712 0 0.00 0.01 0.05 0 0 131804000 65053032 66750968 0 776 57426800 471392 29512 6134632 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 1 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
9 0 0 0 0 0 0 0 100 0 0 0 189 318 2 712 0 0.00 0.01 0.05 0 0 131804000 65053016 66750984 0 776 57426800 471392 29512 6134656 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 13 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
10 0 0 0 0 0 0 0 100 0 0 0 81 148 0 712 0 0.00 0.01 0.05 0 0 131804000 65052896 66751104 0 776 57426800 471392 29512 6134660 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 1 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
11 0 0 0 0 0 0 0 100 0 0 0 232 392 2 712 0 0.00 0.01 0.05 0 0 131804000 65052888 66751112 0 776 57426800 471392 29512 6134708 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 7 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
12 0 0 0 0 0 0 0 100 0 0 0 80 144 0 712 0 0.00 0.01 0.05 0 0 131804000 65052872 66751128 0 776 57426800 471392 29512 6134708 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 2 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
13 0 0 0 0 0 0 0 100 0 0 0 164 256 2 712 0 0.00 0.01 0.05 1 0 131804000 65052888 66751112 0 776 57426800 471392 29512 6134720 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 33 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
14 0 0 0 0 0 0 0 100 0 0 0 150 285 0 712 0 0.00 0.01 0.05 0 0 131804000 65052748 66751252 0 776 57426800 471392 29512 6134720 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
15 0 0 0 0 0 0 0 100 0 0 0 182 287 0 712 0 0.00 0.01 0.05 0 0 131804000 65052664 66751336 0 776 57426800 471392 29512 6134716 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
16 0 0 0 0 0 0 0 100 0 0 0 127 240 2 712 0 0.00 0.01 0.05 0 0 131804000 65052524 66751476 0 776 57426800 471392 29512 6134732 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 6 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
17 0 0 0 0 0 0 0 100 0 0 0 143 218 0 712 0 0.00 0.01 0.05 0 0 131804000 65052384 66751616 0 776 57426800 471392 29512 6134732 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
18 0 0 0 0 0 0 0 100 0 0 0 145 275 2 712 0 0.00 0.01 0.05 0 0 131804000 65052272 66751728 0 776 57426800 471392 29512 6134756 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 8 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
19 0 0 0 0 0 0 0 100 0 0 0 195 301 0 712 0 0.00 0.01 0.05 0 0 131804000 65052256 66751744 0 776 57426800 471392 29512 6134756 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
20 0 0 0 0 0 0 0 100 0 0 0 147 292 2 712 0 0.00 0.01 0.05 0 0 131804000 65052148 66751852 0 776 57426800 471392 29512 6134756 2551520 0 0 0 0 0 0 12 0 0 51793096 0 1 6 0 0 0 0 140784 0 2 2 0 1 1 0 0 0
21 0 0 0 0 0 0 0 100 0 0 0 199 322 0 712 0 0.00 0.01 0.05 0 0 131804000 65052148 66751852 0 776 57426800 471392 29512 6134756 2551520 0 0 0 0 0 0 12 0 0 51793096 0 1 4 0 0 0 0 140784 0 2 2 0 1 1 0 0 0
22 0 0 0 0 0 0 0 100 0 0 0 113 200 2 712 0 0.00 0.01 0.05 0 0 131804000 65052132 66751868 0 776 57426800 471392 29512 6134764 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 10 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
23 0 0 0 0 0 0 0 100 0 0 0 198 344 0 712 0 0.00 0.01 0.05 1 0 131804000 65052132 66751868 0 776 57426800 471392 29512 6134768 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 31 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
24 0 0 0 0 0 0 0 100 0 0 0 141 269 0 712 0 0.00 0.01 0.05 0 0 131804000 65052024 66751976 0 776 57426800 471392 29512 6134768 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
25 0 0 0 0 0 0 0 100 0 0 0 191 314 2 712 0 0.00 0.01 0.05 0 0 131804000 65052148 66751852 0 776 57426800 471392 29512 6134792 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 6 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
26 0 0 0 0 0 0 0 100 0 0 0 78 142 0 712 0 0.00 0.01 0.05 0 0 131804000 65052004 66751996 0 776 57426800 471392 29512 6134792 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
27 0 0 0 0 0 0 0 100 0 0 0 196 330 2 712 0 0.00 0.01 0.05 0 0 131804000 65052020 66751980 0 776 57426800 471392 29512 6134816 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 13 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
28 0 0 0 0 0 0 0 100 0 0 0 104 203 0 712 0 0.00 0.01 0.05 0 0 131804000 65051764 66752236 0 776 57426800 471392 29512 6134816 2551520 0 0 0 0 0 0 12 0 0 51793096 0 0 0 0 0 0 0 140784 0 0 0 0 0 0 0 0 0
29 0 0 0 0 0 0 0 100 0 0 0 448 1105 17 721 0 0.00 0.01 0.05 0 0 131804000 65063472 66740528 0 776 57426804 471500 34764 6145664 2584136 0 0 0 0 0 0 12 0 0 51793096 0 0 7038 0 0 0 0 140892 0 0 0 0 0 0 0 0 0
