Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 0 0 0 0 0 0 100 0 0 0 168 250 0 709 0 0.02 0.05 0.05 0 0 131804000 38655768 93148232 0 240 32539296 327900 28872 4769908 2544460 0 0 0 0 0 0 12 0 0 15931312 0 0 11 0 0 0 0 135448 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 100 0 0 0 175 358 0 709 0 0.02 0.05 0.05 0 0 131804000 38655292 93148708 0 240 32539296 327948 28808 4769644 2544460 0 0 0 0 0 0 4 0 0 15931304 0 8 5 0 0 0 0 135496 0 2 2 0 8 8 0 0 0
2 0 0 0 0 0 0 0 100 0 0 0 131 182 0 709 0 0.02 0.05 0.05 0 0 131804000 38655316 93148684 0 240 32539296 328084 28808 4769520 2544460 0 0 0 0 0 0 4 0 0 15931316 0 0 5 0 0 0 0 135632 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 0 100 0 0 0 180 341 2 709 0 0.02 0.05 0.05 0 0 131804000 38654744 93149256 0 240 32539632 328336 29020 4769332 2544460 0 0 0 0 0 0 4 0 0 15931608 0 0 10 0 0 0 0 135708 0 0 0 0 0 0 0 0 0
4 0 0 0 0 0 0 0 100 0 0 0 169 276 0 709 0 0.02 0.05 0.05 0 0 131804000 38654692 93149308 0 240 32539664 328336 29020 4769344 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 3 0 0 0 0 135708 0 0 0 0 0 0 0 0 0
5 0 0 0 0 0 0 0 100 0 0 0 182 367 2 709 0 0.02 0.05 0.05 0 0 131804000 38654584 93149416 0 240 32539664 328336 29020 4769356 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 6 0 0 0 0 135708 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0 100 0 0 0 131 194 0 709 0 0.02 0.05 0.05 0 0 131804000 38654428 93149572 0 240 32539664 328336 29020 4769360 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 2 0 0 0 0 135708 0 0 0 0 0 0 0 0 0
7 0 0 0 0 0 0 0 100 0 0 0 181 376 2 709 0 0.02 0.05 0.05 0 0 131804000 38654372 93149628 0 240 32539664 328336 29020 4769424 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 12 0 0 0 0 135708 0 0 0 0 0 0 0 0 0
8 0 0 0 0 0 0 0 100 0 0 0 182 280 0 709 0 0.02 0.04 0.05 1 0 131804000 38654156 93149844 0 240 32539664 328336 29020 4769432 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 94 0 0 0 0 135708 0 0 0 0 0 0 0 0 0
9 0 0 0 0 0 0 0 100 0 0 0 171 333 0 709 0 0.02 0.04 0.05 0 0 131804000 38654120 93149880 0 240 32539664 328432 29020 4769432 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 1 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
10 0 0 0 0 0 0 0 100 0 0 0 128 180 0 709 0 0.02 0.04 0.05 0 0 131804000 38654120 93149880 0 240 32539664 328432 29020 4769440 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 1 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
11 0 0 0 0 0 0 0 100 0 0 0 182 358 2 709 0 0.02 0.04 0.05 0 0 131804000 38653948 93150052 0 240 32539664 328432 29020 4769440 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 2 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
12 0 0 0 0 0 0 0 100 0 0 0 173 290 0 709 0 0.02 0.04 0.05 0 0 131804000 38653948 93150052 0 240 32539664 328432 29020 4769440 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 2 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
13 0 0 0 0 0 0 0 100 0 0 0 204 401 2 709 0 0.02 0.04 0.05 0 0 131804000 38653716 93150284 0 240 32539664 328432 29020 4769460 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 8 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
14 0 0 0 0 0 0 0 100 0 0 0 149 226 0 709 0 0.02 0.04 0.05 0 0 131804000 38653668 93150332 0 240 32539664 328432 29020 4769460 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 0 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
15 0 0 0 0 0 0 0 100 0 0 0 197 400 2 709 0 0.02 0.04 0.05 0 0 131804000 38653592 93150408 0 240 32539664 328432 29020 4769504 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 12 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
16 0 0 0 0 0 0 0 100 0 0 0 166 278 0 709 0 0.02 0.04 0.05 0 0 131804000 38653576 93150424 0 240 32539664 328432 29020 4769504 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 0 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
17 0 0 0 0 0 0 0 100 0 0 0 179 356 2 709 0 0.02 0.04 0.05 0 0 131804000 38653592 93150408 0 240 32539664 328432 29020 4769504 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 4 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
18 0 0 0 0 0 0 0 100 0 0 0 129 186 0 709 0 0.02 0.04 0.05 1 0 131804000 38653576 93150424 0 240 32539664 328432 29020 4769508 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 31 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
19 0 0 0 0 0 0 0 100 0 0 0 168 339 0 709 0 0.02 0.04 0.05 0 0 131804000 38653496 93150504 0 240 32539664 328520 29020 4769504 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 0 0 0 0 0 135724 0 0 0 0 0 0 0 0 0
20 0 0 0 0 0 0 0 100 0 0 0 165 262 0 709 0 0.02 0.04 0.05 0 0 131804000 38653520 93150480 0 240 32539664 328512 29020 4769504 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 115 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
21 0 0 0 0 0 0 0 100 0 0 0 191 384 2 709 0 0.02 0.04 0.05 0 0 131804000 38653504 93150496 0 240 32539664 328512 29020 4769516 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 9 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
22 0 0 0 0 0 0 0 100 0 0 0 129 208 0 709 0 0.02 0.04 0.05 0 0 131804000 38653504 93150496 0 240 32539664 328512 29020 4769516 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 0 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
23 0 0 0 0 0 0 0 100 0 0 0 190 387 2 709 0 0.01 0.04 0.05 0 0 131804000 38653520 93150480 0 240 32539664 328512 29020 4769520 2544460 0 0 0 0 0 0 12 0 0 15931608 0 35 7 0 0 0 0 135716 0 6 6 0 36 36 0 1 1
24 0 0 0 0 0 0 0 100 0 0 0 198 318 0 709 0 0.01 0.04 0.05 0 0 131804000 38653504 93150496 0 240 32539664 328512 29020 4769520 2544460 0 0 0 0 0 0 12 0 0 15931608 0 62 0 0 0 0 0 135716 0 14 14 0 62 62 0 2 2
25 0 0 0 0 0 0 0 100 0 0 0 183 352 2 709 0 0.01 0.04 0.05 0 0 131804000 38653396 93150604 0 240 32539664 328512 29020 4769520 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 7 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
26 0 0 0 0 0 0 0 100 0 0 0 137 228 0 709 0 0.01 0.04 0.05 0 0 131804000 38653380 93150620 0 240 32539664 328512 29020 4769520 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 4 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
27 0 0 0 0 0 0 0 100 0 0 0 174 354 2 709 0 0.01 0.04 0.05 0 0 131804000 38653272 93150728 0 240 32539664 328512 29020 4769584 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 7 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
28 0 0 0 0 0 0 0 100 0 0 0 172 267 0 709 0 0.01 0.04 0.05 1 0 131804000 38653256 93150744 0 240 32539664 328512 29020 4769588 2544460 0 0 0 0 0 0 12 0 0 15931608 0 0 32 0 0 0 0 135716 0 0 0 0 0 0 0 0 0
29 1 0 0 0 0 0 0 99 1 0 0 903 1486 17 711 1 0.01 0.04 0.05 1 0 131804000 38691388 93112612 0 240 32563368 328368 37488 4778632 2580688 0 0 0 0 0 0 16 0 0 15955032 24244 0 8752 21 0 0 0 135716 125 0 125 24244 0 24244 0 0 0
30 1 0 0 0 0 0 0 98 1 0 0 1240 1357 9 714 0 0.01 0.04 0.05 0 0 131804000 38705896 93098104 0 240 32570272 328456 40408 4789100 2588488 0 0 0 0 0 0 28 0 0 15962152 7096 0 4213 17 0 0 0 135716 54 0 54 7088 0 7088 0 0 0
31 0 0 0 2 0 0 0 98 0 0 0 1307 3150 71 783 1 0.01 0.04 0.05 1 0 131804000 38999788 92804212 0 240 32595356 328444 43096 4973444 3385460 0 0 0 0 0 0 36 0 0 15986808 24760 12 22960 7 0 0 0 135568 222 3 225 24768 12 24780 0 0 0
32 0 1 1 0 0 0 0 98 2 0 0 1252 415 0 783 1 0.01 0.04 0.05 1 0 131804000 40434572 91369428 0 240 32595356 328444 43132 6486796 5963164 0 0 0 0 0 0 36 0 0 15986808 0 0 79177 0 0 0 0 135568 0 0 0 0 0 0 0 0 0
33 0 2 0 0 0 0 0 97 3 0 0 1342 696 2 783 1 0.09 0.06 0.05 1 0 131804000 40434508 91369492 0 240 32595364 328452 42436 6486736 5963164 0 0 0 0 0 0 44 0 0 15986640 0 0 6779 0 0 0 0 135576 0 0 0 0 0 0 0 0 0
34 0 3 0 0 0 0 0 97 3 0 0 1284 488 0 783 1 0.09 0.06 0.05 1 0 131804000 40434556 91369444 0 240 32595368 328452 42436 6486736 5963164 0 0 0 0 0 0 48 0 0 15986640 0 0 12355 0 0 0 0 135576 0 0 0 0 0 0 0 0 0
35 0 2 0 0 0 0 0 97 3 0 0 1328 670 2 783 1 0.09 0.06 0.05 1 0 131804000 40434572 91369428 0 240 32595396 328464 42492 6490916 5963164 0 0 0 0 0 0 60 0 0 15986660 0 0 11789 0 0 0 0 135580 0 0 0 0 0 0 0 0 0
36 0 2 0 0 0 0 0 97 3 0 0 1323 550 0 783 1 0.09 0.06 0.05 1 0 131804000 40434500 91369500 0 240 32595400 328464 42492 6490916 5963164 0 0 0 0 0 0 64 0 0 15986660 0 0 11662 0 0 0 0 135580 0 0 0 0 0 0 0 0 0
37 0 2 0 0 0 0 0 97 3 0 0 1225 478 2 783 1 0.09 0.06 0.05 1 0 131804000 40450788 91353212 0 240 32595400 328464 42492 6507940 5980180 0 0 0 0 0 0 64 0 0 15986660 0 0 42785 0 0 0 0 135580 0 0 0 0 0 0 0 0 0
38 0 2 0 0 0 0 0 98 2 0 0 1141 204 0 783 1 0.16 0.07 0.06 3 0 131804000 40450448 91353552 0 240 32595400 328464 42584 6507896 5980180 0 0 0 0 0 0 64 0 0 15986660 0 0 39043 0 0 0 0 135580 0 0 0 0 0 0 0 0 0
39 0 1 1 0 0 0 0 97 3 0 0 1193 393 2 783 1 0.16 0.07 0.06 2 0 131804000 42341376 89462624 0 240 32595404 328488 42604 8511704 44781164 0 0 0 0 0 0 68 0 0 15986660 0 0 22546 0 0 0 0 135588 0 0 0 0 0 0 0 0 0
40 0 1 2 0 0 0 0 97 3 0 0 1193 303 2 785 1 0.16 0.07 0.06 1 0 131804000 46857844 84946156 0 240 32595404 328404 42604 13021424 44783412 0 0 0 0 0 0 68 0 0 15986660 0 0 2332 0 0 0 0 135504 0 0 0 0 0 0 0 0 0
41 0 1 2 0 0 0 0 97 3 0 0 1173 360 0 785 1 0.16 0.07 0.06 1 0 131804000 51390836 80413164 0 240 32595404 328404 42604 17541488 44783412 0 0 0 0 0 0 68 0 0 15986660 0 0 2211 0 0 0 0 135504 0 0 0 0 0 0 0 0 0
42 0 1 2 0 0 0 0 97 3 0 0 1128 190 0 785 1 0.16 0.07 0.06 2 0 131804000 55925736 75878264 0 240 32595404 328404 42604 22067568 44783412 0 0 0 0 0 0 68 0 0 15986660 0 0 2210 0 0 0 0 135504 0 0 0 0 0 0 0 0 0
