Time [CPU]User% [CPU]Nice% [CPU]Sys% [CPU]Wait% [CPU]Irq% [CPU]Soft% [CPU]Steal% [CPU]Idle% [CPU]Totl% [CPU]Guest% [CPU]GuestN% [CPU]Intrpt/sec [CPU]Ctx/sec [CPU]Proc/sec [CPU]ProcQue [CPU]ProcRun [CPU]L-Avg1 [CPU]L-Avg5 [CPU]L-Avg15 [CPU]RunTot [CPU]BlkTot [MEM]Tot [MEM]Used [MEM]Free [MEM]Shared [MEM]Buf [MEM]Cached [MEM]Slab [MEM]Map [MEM]Anon [MEM]Commit [MEM]Locked [MEM]SwapTot [MEM]SwapUsed [MEM]SwapFree [MEM]SwapIn [MEM]SwapOut [MEM]Dirty [MEM]Clean [MEM]Laundry [MEM]Inactive [MEM]PageIn [MEM]PageOut [MEM]PageFaults [MEM]PageMajFaults [MEM]HugeTotal [MEM]HugeFree [MEM]HugeRsvd [MEM]SUnreclaim [DSK]ReadTot [DSK]WriteTot [DSK]OpsTot [DSK]ReadKBTot [DSK]WriteKBTot [DSK]KbTot [DSK]ReadMrgTot [DSK]WriteMrgTot [DSK]MrgTot
0 0 0 0 0 0 0 0 100 0 0 0 104 118 0 758 0 0.00 0.01 0.05 0 0 131754524 76868932 54885592 0 0 75350748 583224 17272 34716 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 11 0 0 0 0 198200 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 100 0 0 0 62 68 0 758 0 0.00 0.01 0.05 0 0 131754524 76869360 54885164 0 0 75350748 583232 17288 34820 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 4 0 0 0 0 198208 0 0 0 0 0 0 0 0 0
2 0 0 0 0 0 0 0 100 0 0 0 43 52 0 758 0 0.00 0.01 0.05 0 0 131754524 76869224 54885300 0 0 75350748 583232 17416 34648 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 3 0 0 0 0 198208 0 0 0 0 0 0 0 0 0
3 0 0 0 0 0 0 0 100 0 0 0 40 57 0 758 0 0.00 0.01 0.05 1 0 131754524 76868840 54885684 0 0 75350748 583392 17212 34292 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 29 0 0 0 0 198328 0 0 0 0 0 0 0 0 0
4 0 0 0 0 0 0 0 100 0 0 0 98 145 0 758 0 0.00 0.01 0.05 0 0 131754524 76868312 54886212 0 0 75350748 583056 17212 34324 337272 0 4194300 89472 4104828 0 0 4 0 0 51958608 0 4 3 0 0 0 0 197992 0 1 1 0 4 4 0 0 0
5 0 0 0 0 0 0 0 100 0 0 0 74 87 0 758 0 0.00 0.01 0.05 0 0 131754524 76868312 54886212 0 0 75350748 583056 17212 34324 337272 0 4194300 89472 4104828 0 0 4 0 0 51958608 0 0 1 0 0 0 0 197992 0 0 0 0 0 0 0 0 0
6 0 0 0 0 0 0 0 100 0 0 0 38 54 0 758 0 0.00 0.01 0.05 0 0 131754524 76868064 54886460 0 0 75350748 583056 17212 34340 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 1 0 0 0 0 197992 0 0 0 0 0 0 0 0 0
7 0 0 0 0 0 0 0 100 0 0 0 63 103 0 758 0 0.00 0.01 0.05 0 0 131754524 76867920 54886604 0 0 75350748 583056 17212 34340 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 20 2 0 0 0 0 197992 0 4 4 0 20 20 0 1 1
8 0 0 0 0 0 0 0 100 0 0 0 128 200 0 758 0 0.00 0.01 0.05 0 0 131754524 76868332 54886192 0 0 75350748 583096 17212 34264 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 19 1 0 0 0 0 197992 0 4 4 0 19 19 0 1 1
9 0 0 0 0 0 0 0 100 0 0 0 104 150 0 758 0 0.00 0.01 0.05 0 0 131754524 76868332 54886192 0 0 75350748 583096 17212 34264 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 1 0 0 0 0 197992 0 0 0 0 0 0 0 0 0
10 0 0 0 0 0 0 0 100 0 0 0 79 148 0 758 0 0.00 0.01 0.05 0 0 131754524 76868332 54886192 0 0 75350748 583096 17212 34272 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 1 0 0 0 0 197992 0 0 0 0 0 0 0 0 0
11 0 0 0 0 0 0 0 100 0 0 0 88 164 0 758 0 0.00 0.01 0.05 0 0 131754524 76868288 54886236 0 0 75350748 583096 17212 34272 337272 0 4194300 89472 4104828 0 0 0 0 0 51958608 0 0 30 0 0 0 0 197992 0 0 0 0 0 0 0 0 0
